id,Source,Target,Reference,Orig-Nasal-As-Line,Orig-Nasal-As-Tilde
147,Ie' tsòqke .,Él va a cantar .,GrammarJara 2018 pg070,,Ie' tsö̀ke .
148,Ie' kèq tsòqkũ .,Él no va a cantar .,GrammarJara 2018 pg070,,Ie' kë̀ tsö̀kũ .
149,E' ã ye' ièmĩkã o ye' kèq ièppakã .,Podré echar algo o no podré echar nada .,GrammarJara 2018 pg070,,E' ã ye' ièmikã o ye' kë̀ ièppakã .
150,Ye' kèq mìxppa .,Yo no iré .,GrammarJara 2018 pg070,,Ye' kë̀ mìppa .
151,Ie' inéx .,Él jugó .,GrammarJara 2018 pg071,,Ie' iné .
152,Ie' kèq inìxnẽ .,Él no jugó .,GrammarJara 2018 pg071,,Ie' kë̀ inìne .
153,Ie' inĩ' .,Él jugó .,GrammarJara 2018 pg071,,Ie' ini' .
154,Ie' tö ali' ñéx .,Él comió yuca .,GrammarJara 2018 pg071,,Ie' tö ali' ñé .
155,Ie' kèq wã ali' ñàxnẽ .,Él no comió yuca .,GrammarJara 2018 pg071,,Ie' kë̀ wã ali' ñàne .
156,Ie' tö ali' ñã' .,Él comió yuca .,GrammarJara 2018 pg071,,Ie' tö ali' ña' .
157,Kèq ba tsòqk .,No cante .,GrammarJara 2018 pg071,,Kë̀ ba tsö̀k .
158,Kèq ba inùxk .,No juegue .,GrammarJara 2018 pg071,,Kë̀ ba inùk .
159,Kèq i yà .,No lo beba .,GrammarJara 2018 pg071,,Kë̀ i yà .
160,Kèq i ñàx .,No lo coma .,GrammarJara 2018 pg071,,Kë̀ i ñà .
161,"Erë tã ióqkã ièse : kèq klàtska tàa , kèq ñóx biàtsã .","Pero échelo entero: no le corte las uñas , no le saque las tripas .",GrammarJara 2018 pg071,,"Erë tã iö́kã ièse: kë̀ klàtska tàa, kë̀ ñó biàtsã ."
162,Ye' wã akéqkëpa e' tséqule .,Yo se lo he escuchado a los mayores .,GrammarJara 2018 pg072,,Ye' wã kë́këpa e' tsë́ule .
163,Kèq ye' wã i ichákíule .,Yo no lo he preguntado .,GrammarJara 2018 pg072,,Kë̀ ye' wã i ichákíule .
164,Ie' tsòqke .,Él va a cantar .,GrammarJara 2018 pg073,,Ie' tsö̀ke .
165,Yì kĩ be' kiàrmĩ ?,Quién te va a querer ?,GrammarJara 2018 pg073,,Yì kĩ be' kiàrmi ?
166,Se' ãñìx sũwèxppa .,Nos vemos .,GrammarJara 2018 pg073,,Se' añì sũwẽ̀ppa .
167,Ie' dawòqràwã .,Él morirá .,GrammarJara 2018 pg073,,Ie' dawö̀ràwã .
168,Ì wámbalök be' tso' ?,Qué estás haciendo ?,GrammarJara 2018 pg074,,Ì wámblök be' tso' ?
169,Ye' tso' uyèqjkuö àxritsök .,Estoy leyendo un libro .,GrammarJara 2018 pg074,,Ye' tso' ayë́jkuö õ̀ritsök .
170,Ye' tö uyèqjkuö àxritsè tkër .,Estoy sentado leyendo un libro .,GrammarJara 2018 pg074,,Ye' tö ayë́jkuö õ̀ritsè tchër .
171,Balo' yàrke .,Se está bebiendo chicha .,GrammarJara 2018 pg074,,Blo' yàrke .
172,Kèq balo' yà kũ .,No se está bebiendo chicha .,GrammarJara 2018 pg074,,Kë̀ blo' yà kũ .
173,Ye' kãnèxbalòqke .,Yo suelo trabajar .,GrammarJara 2018 pg074,,Ye' kãnèblö̀ke .
174,Ye' tö i ñèxke .,Yo suelo comerlo .,GrammarJara 2018 pg075,,Ye' tö i ñèke .
175,"E' wàbalèqrke tã i Yàbulu shùx ã se' kóq arkã , e' ã se' ditséwöla batà arkĩ iã .","Eso sucedía cuando en la panza del Yàbulu estaba nuestra canasta , todavía ahí dentro estaba todavía el resto de nuestras semillitas .",GrammarJara 2018 pg077,,"E' wàblë̀rke tã i Yàbulu shũ̀ ã se' kö́ arkã, e' ã se' ditséwöla batà arkĩ iã ."
176,E' shkèxrkèkãnẽ se' mĩk õ' dalèqr ie .,Eso nos va a producir dolor de estómago .,GrammarJara 2018 pg077,,E' shkẽ̀rkèkãne se' mik õ' dalë̀r ie .
177,"E' alìnẽ tkër , e' kòqppèkèkãtke .","Eso está cocinado , ya lo vamos a destapar .",GrammarJara 2018 pg077,,"E' alìne tchër, e' kö̀ppèkèkãtche ."
178,Ie' wã alà dékãtke diàwa .,Él ya había traído a la niña desde el este .,GrammarJara 2018 pg077,,Ie' wã alà dékãtche diàwa .
179,I ãmìx dékãnẽ aìẽ .,Su madre regresó allá arriba .,GrammarJara 2018 pg078,,I ãmì dékãne aìẽ .
180,E' dèqkãtkenẽ káx i' kĩ e'tã pë' dé tãîx .,"Cuando aquella hubo llegado a este lugar , entonces llegó mucha gente .",GrammarJara 2018 pg078,,E' dë̀kãtchene kṍ i' kĩ e'tã pë' dé tãì .
181,Kéqkëla ẽ' kékã ikuwòq wóqtsèla .,La señora se puso a desgranar el maíz .,GrammarJara 2018 pg078,,Kë́këla ẽ' kékã ikuwö̀ wö́tsèla .
182,"I' shòx ye' tö dìwö tkèkèwã , dià shòx , ditsòq iã , dalàbulu chukuèbalu tkèkèwã .","Aquí mismo pondré el sol , allá abajo , para los indígenas , pondré el brillante sol .",GrammarJara 2018 pg079,,"I' shõ̀ ye' tö dìwö tchèkèwã, dià shõ̀, ditsö̀ iã, dalàbulu chukuèblu tchèkèwã ."
183,"Wìx kóxwötã' sku' yawòqk se' ã bua' , ètka tsìdalala e' rö ákwö iókwã .","Esa señora debe hacer para nosotros unos buenos bolsitos , uno pequeñito que es para echar adentro la piedra .",GrammarJara 2018 pg079,,"Wĩ ̀ kṍwötã' sku' yawö̀k se' ã bua', ètcha tsìdalala e' rö ákwö iókwã ."
184,Be' ttèwã i di .,Eso te mata .,GrammarJara 2018 pg079,,Be' ttèwã i di .
185,"E' ñèxke se' tö , e' ñèxkewã se' tö .","Nos comemos eso , nos comemos eso completamente .",GrammarJara 2018 pg079,,"E' ñèke se' tö, e' ñèkewã se' tö ."
186,Sa' wòqmèxkètsãtke ãñìx ttòqkwã téqruwak tã .,A nosotros se nos había designado para matarnos definitivamente con los téribes .,GrammarJara 2018 pg079,,Sa' wö̀mèkètsãtche ãñì ttö̀kwã të́ruwak tã .
187,Íes e' õ' mũèxkèwã .,Así se amarra el estómago completamente .,GrammarJara 2018 pg080,,Íes e' õ' muẽ̀kèwã .
188,"E' kũéxkĩ mìxkã su dawòqkèwãtke dàã , e'tã cha i wébalóq i bua'rmĩnẽ .","Por eso cuando alguien ya se va a morir , pues entonces examínelo para ver si se puede curar .",GrammarJara 2018 pg080,,"E' kũẽ́kĩ mìkã su dawö̀kèwãtche dàã, e'tã cha i wéblö́ i bua'rmine ."
189,"Be' s baterèwãmĩ , pàterèwãmĩ bua'ë .","Usted comienza a enrollar a la persona , comienza a envolver el cuerpo muy bien .",GrammarJara 2018 pg080,,"Be' s baterèwãmi, pàterèwãmi bua'ë ."
190,Ye' wák e' r i yèwãmĩ .,Yo mismo lo beberé completamente .,GrammarJara 2018 pg080,,Ye' wák e' r i yèwãmi .
191,"E' tsa' ták klòqũkwã se' kè , ahora se' ulà klòqwèxwã , íẽrö tö "" i kóqkã "" .","El maestro nos pide que agarremos nosotros mismos un pedazo de mecate , ahora él mismo agarra nuestra mano y aquí dice: "" levántelo "" .",GrammarJara 2018 pg081,,"E' tsa' ták klö̀ũkwã se' kè, ahora se' ulà klö̀wẽ̀wã, íẽrö tö ""i kö́kã"" ."
192,Sa' wòqmèxkètsãtke ãñìx ttòqkwã téqruwak tã .,A nosotros se nos había designado para matarnos con los téribes .,GrammarJara 2018 pg081,,Sa' wö̀mèkètsãtche ãñì ttö̀kwã të́ruwak tã .
193,E'tã pë' ñèxkkëpa tö ie' tsakèe ; kóq yètsãnẽ .,Entonces aquella gente lo reventó ; volvieron a sacar la canasta .,GrammarJara 2018 pg081,,E'tã pë' ñèkkëpa tö ie' tsakèe; kö́ yètsãne .
194,"Yóqtsãnẽ , cha , i yètsãnẽ , se' kóq dèqnẽ .","Saquen la canasta , pues la sacaron , nuestra canasta regresó .",GrammarJara 2018 pg081,,"Yö́tsãne, cha, i yètsãne, se' kö́ dë̀ne ."
195,E'ẽ ák tso' tãîxë tkòqtsã .,En ese lugar había enormes piedras por todas partes .,GrammarJara 2018 pg082,,E'ẽ ák tso' tãìë tchö̀tsã .
196,Tchàwã i Yàbulu shùx ã ; e' tkèqnẽtsã ñẽ' rö .,Se metieron en el Yábulu ; lo invadieron .,GrammarJara 2018 pg082,,Tchàwã i Yàbulu shũ̀ ã; e' tchë̀netsã ñe' rö .
197,"Se' míxã wìxẽ , se' kéqkë se' kèke íyi kiòqktsã , sulì , kàsir e' kièkètsã .","Vamos allá , nuestro maestro nos pide que pidamos animales , venado , saíno , eso se pide .",GrammarJara 2018 pg082,,"Se' míã wĩ̀ẽ, se' kë́kë se' kèke íyi kiö̀ktsã, sulì, kàsir e' kièkètsã ."
198,E' wéxjkëtã be' i tòqtkètsã .,"En algún momento después de eso , usted los va a examinar .",GrammarJara 2018 pg082,,E' wẽ́jkëtã be' i tö̀tchètsã .
199,"I kãnèxwèxketsã ... , i kãnèxwèxketsã bua'ëmẽ .","Eso se trabaja ... , eso se trabaja muy bien .",GrammarJara 2018 pg083,,"I kãnèwẽ̀ketsã..., i kãnèwẽ̀ketsã bua'ëme ."
200,"Ñe' ã be' tkàtsã , e' tkéql , e'tã be' dé óköm kéqchike .","Cuando usted ha pasado por eso cuatro veces , entonces usted ha llegado a óköm mayor .",GrammarJara 2018 pg083,,"Ñe' ã be' tchàtsã, e' tchë́l, e'tã be' dé óköm kë́chike ."
201,káx bakòxs,A qué hora ?,Constenla 1998 pg024,ká̠ bakò̠s,
202,káx kòxs,A qué hora ?,Constenla 1998 pg024,ká̠ kò̠s,
203,dìwö kúl,A las siete .,Constenla 1998 pg024,dìwö kúl,
204,káx sháxböts,Media noche .,Constenla 1998 pg024,ká̠ shá̠böts,
205,yö i èwamĩ,Lo dejaré .,Constenla 1998 pg024,yö i-èwami̠,
206,ñã éxn,mi hígado,Constenla 1998 pg025,ña̠-é̠n,
207,ñĩ nĩmàx,mi pescado,Constenla 1998 pg025,ñi̠-ni̠mà̠,
208,yi ya',mi mollejón,Constenla 1998 pg025,yi-ya',
209,mã nãùx,su tío materno,Constenla 1998 pg025,ma̠-na̠ù̠,
210,i yàmĩ,su pariente,Constenla 1998 pg025,i-yàmi̠,
211,sa yéq,nuestro padre,Constenla 1998 pg025,sa-yë́,
212,ñã ñáx,mis excrementos,Constenla 1998 pg025,ña̠-ñá̠,
213,ya ù,mi casa,Constenla 1998 pg025,ya-ù,
214,ba kúx,su piojo,Constenla 1998 pg025,ba-kú̠,
215,ĩ mãléxk,su cola,Constenla 1998 pg025,i̠-ma̠lé̠k,
216,sã ùx,nuestra olla,Constenla 1998 pg025,sa̠-ù̠,
217,I tso' bua' .,Él está bien .,Constenla 1998 pg025,I-tso' bua' .,
218,Kë i ku' bua' .,Él no está bien .,Constenla 1998 pg025,Kë i-ku' bua' .,
219,Ie' tso'tke bua' .,Él ya está bien .,Constenla 1998 pg025,Ie' tso'tke bua' .,
220,Ie' kie Carlos .,Él se llama Carlos .,Constenla 1998 pg026,Ie' kie Carlos .,
221,I kiè Carlos .,Se llama Carlos .,Constenla 1998 pg026,I-kiè Carlos .,
222,Stsèqnẽ .,Se cantó .,Constenla 1998 pg026,Stsë̀ne̠ .,
223,I sulùnẽ .,Se estropeó .,Constenla 1998 pg026,I-sulùne̠ .,
224,I sulûòxnẽ .,Fue estropeado .,Constenla 1998 pg026,I-sulûò̠ne̠ .,
225,I bàtsẽ .,Se pegó .,Constenla 1998 pg026,I-bàtse̠ .,
226,Pûs kapë'wã .,El gató se durmió .,Constenla 1998 pg028,Pûs kapë'wa̠ .,
227,Pûs kapë'ulur .,Los gatos se durmieron .,Constenla 1998 pg028,Pûs kapë'ulur .,
228,Ye' tö skuèq kóqtwa .,Yo maté un ratón .,Constenla 1998 pg028,Ye' tö skuë̀ kö́twa .,
229,Ye' tö skuèq kóqtulur .,Yo maté ratones .,Constenla 1998 pg028,Ye' tö skuë̀ kö́tulur .,
230,Ie' ẽ' tkë'wã .,Él se sentó .,Constenla 1998 pg028,Ie' e̠' tkë'wa̠ .,
231,Ie'pa ẽ' tulu'wã .,Ellos se sentaron .,Constenla 1998 pg028,Ie'pa e̠' tulu'wa̠ .,
232,Ye' tö ĩ ñã'wa .,Yo me lo comí .,Constenla 1998 pg028,Ye' tö i̠-ña̠'wa .,
233,Ye' tö ĩ ñã'alor .,Yo me los comí .,Constenla 1998 pg028,Ye' tö i̠-ña̠'alor .,
234,Be' tö ye' súx .,Usted me vio .,Constenla 1998 pg028,Be' tö ye' sú̠ .,
235,Ye' ẽ' súx .,Yo me vi .,Constenla 1998 pg028,Ye' e̠' sú̠ .,
236,A' tö sa' súx .,Ustedes me vieron .,Constenla 1998 pg028,A' tö sa' sú̠ .,
237,Sa' ãñìx súx .,Nosotros nos vimos .,Constenla 1998 pg028,Sa' a̠ñì̠ sú̠ .,
238,Alákölpa tö datsi' tóx ẽ' ã .,Las mujeres se compraron vestidos .,Constenla 1998 pg029,Alákölpa tö datsi' tó̠ e̠' a̠ .,
239,Alákölpa tö datsi' tóx ãñìx ã .,Las mujeres se compraron vestidos entre ellas .,Constenla 1998 pg029,Alákölpa tö datsi' tó̠ a̠ñì̠ a̠ .,
240,Ye' kalòqtë' ye' dawö' tã .,Yo bailé con mi novia .,Constenla 1998 pg029,Ye' kalö̀të' ye' dawö' ta̠ .,
241,E' kũéxkĩ kèq ie' kũ íxẽ .,Porque él no está aquí .,Constenla 1998 pg029,E' ku̠é̠ki̠ kë̀ ie' ku̠ í̠e̠ .,
242,Ie' kapë'wã ie' ishtirìnẽ e' kũéxkĩ .,Él se durmió porque estaba cansado .,Constenla 1998 pg029,Ie' kapë'wa̠ ie' ishtirìne̠ e' ku̠é̠ki̠ .,
243,Ìxnwĩ i kapë'wã ?,Porqué se durmió ?,Constenla 1998 pg029,Ì̠nwi̠ i-kapë'wa̠ ?,
244,Ì kũéxkĩ i kapë'wã ?,Porqué se durmió ?,Constenla 1998 pg029,Ì ku̠é̠ki̠ i-kapë'wa̠ ?,
245,Ye' shka' dòq tsáxlĩ díwö skéxl .,Yo caminé hasta las cinco de la tarde .,Constenla 1998 pg029,Ye' shka' dö̀ tsá̠li̠ díwö ské̠l .,
246,Ye' shka' dòq Talók ù ã .,Yo caminé hasta la casa de Talok .,Constenla 1998 pg029,Ye' shka' dö̀ Talók ù a̠ .,
281,"Éwa , Carlos .",Hola Carlos .,Constenla 1998 pg033,"Éwa , Carlos .",
282,Ì wámbalök be' tso ?,Qué está haciendo usted ?,Constenla 1998 pg033,Ì wámbalök be' tso ?,
283,Ye' tso ye' tabè yulök .,Yo estoy buscando mi machete .,Constenla 1998 pg033,Ye' tso ye' tabè yulök .,
284,I' dör be' tabè ?,Es este tu machete ?,Constenla 1998 pg033,I' dör be' tabè ?,
285,Tóq .,Sí .,Constenla 1998 pg033,Tö́ .,
286,Séx dör ye' tabè .,Ese es mi machete .,Constenla 1998 pg033,Sé̠ dör ye' tabè .,
287,Be' kèq kũ i wàkãnéxũk ?,Usted no lo está usando ?,Constenla 1998 pg033,Be' kë̀ ku̠ i-wàka̠né̠u̠k ?,
